fips,year,avg_temp_mean,max_temp_mean,precip_sum,vpd_mean,avg_temp_mean_lag1,max_temp_mean_lag1,precip_sum_lag1,vpd_mean_lag1
19001,2017,292.4078537137681,298.6272930253623,9331.917,0.7580484601449275,292.4078537137681,298.6272930253623,9331.917,0.7580484601449275
19001,2022,292.37739809782613,298.84781295289855,3717.612,0.7747196557971014,292.4078537137681,298.6272930253623,9331.917,0.7580484601449275
19003,2017,292.68932880434784,298.9413525815217,6448.698,0.7722955163043478,292.68932880434784,298.9413525815217,6448.698,0.7722955163043478
19003,2022,292.7364864130435,299.2835747282609,2403.911,0.7959429347826087,292.68932880434784,298.9413525815217,6448.698,0.7722955163043478
19005,2017,290.8060766590389,296.43003403890157,16139.741,0.6656178489702517,290.8060766590389,296.43003403890157,16139.741,0.6656178489702517
19005,2022,291.02811498855834,297.0686618993135,8121.411,0.6940308924485126,290.8060766590389,296.43003403890157,16139.741,0.6656178489702517
19007,2017,292.921890625,299.3884307065218,5454.404,0.8467533967391304,292.921890625,299.3884307065218,5454.404,0.8467533967391304
19007,2022,293.3149300271739,299.9416542119565,2493.861,0.8980557065217392,292.921890625,299.3884307065218,5454.404,0.8467533967391304
19009,2017,292.06903260869564,298.2043562801932,7429.841,0.7363520531400966,292.06903260869564,298.2043562801932,7429.841,0.7363520531400966
19009,2022,292.0650778985507,298.78466425120774,3134.905,0.7609456521739131,292.06903260869564,298.2043562801932,7429.841,0.7363520531400966
